,50PLUS,CDA,CU,D66,DENK,FVD,GL,PvdA,PvdD,PVV,SGP,SP,VVD
aanbieden,"1,0582","0,0","0,4078","0,1965","1,2274","0,0","0,3267","0,2387","0,1992","0,0","0,2417","0,2282","0,4194"
aanbieder,"0,5291","0,4198","0,2379","0,262","0,0","0,1313","0,0","0,0","0,0","0,0","0,3798","0,0","0,2097"
aanbod,"0,5291","0,5598","0,6796","0,2948","0,0","0,2626","0,0817","0,2864","0,1992","0,0","0,6559999999999999","0,0","0,2097"
aanbouwen,"0,5291","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
aandacht,"1,0582","2,7288","2,0048","1,5068","2,6082","1,838","1,2251","1,5753","1,245","1,002","2,3133","1,141","1,1535"
aaneensluiten,"0,5291","0,0","0,034","0,0328","0,0","0,0","0,0","0,0","0,0996","0,0","0,0345","0,0","0,0"
aangaan,"0,5291","0,07","0,1019","0,131","0,1534","0,0","0,0","0,0955","0,0","0,0","0,1036","0,0","0,1573"
aangift,"0,5291","0,07","0,0","0,0","0,0","0,0","0,0","0,0477","0,0","0,0","0,0","0,2282","0,0"
aanloop,"0,5291","0,07","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0691","0,0","0,0"
aanpakken,"0,5291","0,5598","0,3738","0,1638","0,9205","0,2626","0,1633","0,1432","0,3486","0,7515","0,5870000000000001","0,4564","0,1049"
aanpassen,"0,5291","0,4898","0,2379","0,262","0,1534","0,1313","0,0817","0,1909","0,498","0,2505","0,5524","0,4564","0,1573"
aansluiten,"1,0582","0,07","0,1699","0,4258","0,0","0,0","0,0","0,2387","0,0498","0,0","0,1726","0,4564","0,2622"
aanspreekpunt,"0,5291","0,0","0,068","0,0983","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0524"
aantal,"1,0582","1,3994","1,665","0,8189","1,0739","2,1006","0,49","0,7161","2,2907","0,7515","2,1061","0,4564","1,3108"
aantrekken,"0,5291","0,1399","0,068","0,0655","0,0","0,0","0,0","0,0477","0,0498","0,0","0,0345","0,0","0,1049"
aanvraag,"0,5291","0,2799","0,034","0,0","0,0","0,0","0,0817","0,0","0,0","0,0","0,1036","0,0","0,1049"
