,50PLUS,CDA,CU,D66,DENK,FVD,GL,PvdA,PvdD,PVV,SGP,SP,VVD
aanbrengen,"0,3483","0,0843","0,0","0,0329","0,0","0,0","0,1323","0,0599","0,0","0,0","0,0","0,0","0,0534"
aandacht,"2,7865","2,4448","1,1287","2,1371","2,8375","1,2930000000000001","0,9262","1,3768","1,2773","0,0","1,8335","1,6629","1,6008"
aangemoedigd,"0,3483","0,0","0,0564","0,0","0,0","0,2586","0,0","0,0","0,39299999999999996","0,0","0,0","0,0","0,0"
aangift,"0,3483","0,0","0,0564","0,0","0,1351","0,0","0,0","0,0","0,0","0,0","0,0","0,1512","0,0"
aanmerken,"0,3483","0,0843","0,0564","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0534"
aanpak,"0,6966","1,7704","0,8465","0,7562","1,7565","2,0688","0,6616","1,0177","0,5895","0,0","0,5323","0,4535","0,9071"
aanpassen,"0,3483","0,2529","0,3386","0,2959","0,0","0,2586","0,5292","0,0599","0,6878","0,0","0,414","0,4535","0,5869"
aanpast,"0,3483","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1067"
aanschaffen,"0,3483","0,0","0,0564","0,0","0,1351","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
aanslag,"0,6966","0,4215","0,3386","0,0658","0,0","0,0","0,1323","0,1796","0,0","0,0","0,2366","0,1512","0,5869"
aansluit,"0,3483","0,0843","0,1693","0,1644","0,0","0,0","0,0","0,0599","0,0983","0,0","0,2366","0,0","0,0534"
aansluiten,"1,0449","0,3372","0,1129","0,5589","0,0","0,0","0,2646","0,1796","0,0","0,0","0,2366","0,3023","0,3735"
aanspreken,"0,3483","0,0","0,0564","0,0","0,1351","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
aantal,"2,0899","1,2645","1,7495","1,4138","0,6756","1,5516","1,3231","1,4966","1,8668","0,0","1,7743","0,6047","2,1877"
aantrekkelijk,"0,3483","0,2529","0,9594","0,7562","0,8107","1,0344","0,3969","0,8381","0,4913","0,0","0,1774","0,4535","1,0672"
aantrekken,"0,3483","0,2529","0,1129","0,1973","0,0","0,0","0,0","0,0","0,0983","0,0","0,0591","0,0","0,1601"
aanvaardbaar,"0,3483","0,0","0,0","0,0","0,0","0,0","0,0","0,1796","0,0","0,0","0,0","0,0","0,0"
aanvullen,"0,3483","0,3372","0,1129","0,1644","0,0","0,0","0,3969","0,0599","0,0983","8,4746","0,2366","0,1512","0,3202"
aanvullend,"0,3483","0,0","0,1693","0,0658","0,1351","0,0","0,2646","0,0","0,0","0,0","0,1183","0,0","0,1601"
aanvulling,"0,6966","0,0","0,1129","0,0658","0,1351","0,0","0,1323","0,3592","0,0","0,0","0,1183","0,0","0,1067"
aanwend,"0,3483","0,0","0,0","0,0329","0,0","0,2586","0,0","0,0","0,0983","0,0","0,0","0,0","0,0"
aanwezig,"0,3483","0,0843","0,0564","0,263","0,1351","0,2586","0,1323","0,1796","0,1965","0,0","0,1774","0,1512","0,1067"
absoluut,"0,3483","0,0","0,0564","0,0658","0,0","0,0","0,0","0,1197","0,0","0,0","0,1183","0,0","0,1067"
accent,"0,3483","0,0","0,0564","0,0329","0,0","0,0","0,1323","0,0599","0,0","0,0","0,1774","0,0","0,0"
accepteren,"0,3483","0,1686","0,1129","0,0986","0,8107","0,0","0,1323","0,1197","0,0","0,0","0,1183","0,3023","0,4802"
actief,"1,3932","1,4331","0,3951","1,3151","0,1351","0,7758","0,7939","1,2571","1,179","0,0","0,6506","0,6047","0,6937"
actiever,"0,3483","0,1686","0,0","0,0329","0,0","0,0","0,0","0,0599","0,0983","0,0","0,1183","0,0","0,0"
activiteit,"1,3932","0,4215","0,3386","0,4603","0,2702","0,5172","0,3969","0,419","0,9825","0,0","0,1183","0,1512","0,2134"
administratie,"1,0449","0,1686","0,0","0,0658","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1512","0,0"
administratief,"0,3483","0,3372","0,3951","0,1315","0,1351","0,2586","0,1323","0,1197","0,0983","0,0","0,2957","0,1512","0,3735"
administratiekantoor,"0,3483","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
