,50PLUS,CDA,CU,D66,DENK,FVD,GL,PvdA,PvdD,PVV,SGP,SP,VVD
50PLUS,"0,0","2,200000000000003","9,999999999999986","9,100000000000001","13,799999999999997","2,3000000000000043","8,0","8,799999999999997","11,699999999999996","36,9","7,599999999999994","5,299999999999997","6,79999999999999"
CDA,"2,200000000000003","0,0","-2,0","0,0","-3,4000000000000057","-0,09999999999999432","4,200000000000003","-4,299999999999997","2,299999999999997","38,1","-1,8999999999999915","-7,1000000000000085","-3,5"
CU,"9,999999999999986","-2,0","0,0","3,0","6,400000000000006","2,5","4,400000000000006","0,9000000000000057","5,500000000000014","43,300000000000004","3,6000000000000085","-4,5","1,6000000000000085"
D66,"9,100000000000001","0,0","3,0","0,0","5,8999999999999915","1,4000000000000057","5,900000000000006","2,6000000000000085","4,700000000000003","42,00000000000001","2,90000000000002","-3,8000000000000256","-1,2999999999999972"
DENK,"13,799999999999997","-3,4000000000000057","6,400000000000006","5,8999999999999915","0,0","10,100000000000009","9,0","5,099999999999994","6,6000000000000085","39,6","9,099999999999994","7,000000000000014","6,900000000000006"
FVD,"2,3000000000000043","-0,09999999999999432","2,5","1,4000000000000057","10,100000000000009","0,0","3,9000000000000057","1,2999999999999972","3,0","41,79999999999999","-0,6000000000000085","-4,900000000000013","0,8000000000000114"
GL,"8,0","4,200000000000003","4,400000000000006","5,900000000000006","9,0","3,9000000000000057","0,0","5,799999999999997","1,2000000000000028","40,30000000000001","2,0","0,6999999999999886","3,8999999999999915"
PvdA,"8,799999999999997","-4,299999999999997","0,9000000000000057","2,6000000000000085","5,099999999999994","1,2999999999999972","5,799999999999997","0,0","5,700000000000003","44,50000000000001","1,700000000000017","-1,299999999999983","-0,9999999999999858"
PvdD,"11,699999999999996","2,299999999999997","5,500000000000014","4,700000000000003","6,6000000000000085","3,0","1,2000000000000028","5,700000000000003","0,0","39,3","2,6000000000000085","-3,200000000000003","4,200000000000003"
PVV,"36,9","38,1","43,300000000000004","42,00000000000001","39,6","41,79999999999999","40,30000000000001","44,50000000000001","39,3","0,0","41,400000000000006","39,2","46,0"
SGP,"7,599999999999994","-1,8999999999999915","3,6000000000000085","2,90000000000002","9,099999999999994","-0,6000000000000085","2,0","1,700000000000017","2,6000000000000085","41,400000000000006","0,0","-8,400000000000006","-1,7000000000000028"
SP,"5,299999999999997","-7,1000000000000085","-4,5","-3,8000000000000256","7,000000000000014","-4,900000000000013","0,6999999999999886","-1,299999999999983","-3,200000000000003","39,2","-8,400000000000006","0,0","-6,400000000000006"
VVD,"6,79999999999999","-3,5","1,6000000000000085","-1,2999999999999972","6,900000000000006","0,8000000000000114","3,8999999999999915","-0,9999999999999858","4,200000000000003","46,0","-1,7000000000000028","-6,400000000000006","0,0"
