,50PLUS,CDA,CU,D66,DENK,FVD,GL,PvdA,PvdD,PVV,SGP,SP,VVD,Totaal
kracht,"2,0","13,0","7,0","10,0","5,0","0,0","6,0","10,0","4,0","0,0","16,0","0,0","7,0","80,0"
plus,"1,0","0,0","1,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","4,0"
hét,"1,0","0,0","1,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","1,0","0,0","5,0"
ouderenbelang,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
delen,"2,0","2,0","6,0","6,0","2,0","0,0","0,0","0,0","2,0","0,0","3,0","0,0","3,0","25,0"
belang,"8,0","54,0","81,0","44,0","23,0","20,0","13,0","35,0","39,0","7,0","62,0","8,0","54,0","444,0"
ouder,"3,0","26,0","52,0","61,0","12,0","1,0","9,0","19,0","6,0","4,0","61,0","0,0","28,0","280,0"
gezonder,"1,0","3,0","2,0","2,0","0,0","1,0","0,0","4,0","4,0","0,0","0,0","0,0","6,0","23,0"
oud,"25,0","41,0","57,0","33,0","23,0","16,0","16,0","33,0","25,0","10,0","61,0","6,0","16,0","359,0"
samenleving,"9,0","115,0","151,0","91,0","27,0","17,0","75,0","62,0","53,0","2,0","61,0","8,0","75,0","738,0"
gaan,"25,0","78,0","172,0","203,0","28,0","31,0","94,0","138,0","172,0","34,0","179,0","69,0","89,0","1301,0"
inricht,"2,0","1,0","2,0","4,0","1,0","0,0","1,0","1,0","3,0","0,0","2,0","0,0","1,0","18,0"
bijvoorbeeld,"7,0","8,0","96,0","100,0","4,0","8,0","16,0","22,0","31,0","7,0","123,0","5,0","98,0","521,0"
werk,"2,0","43,0","91,0","83,0","18,0","6,0","50,0","91,0","23,0","3,0","62,0","19,0","27,0","512,0"
pensioen,"10,0","5,0","3,0","14,0","4,0","11,0","5,0","8,0","7,0","7,0","6,0","4,0","18,0","102,0"
wonen,"8,0","24,0","46,0","37,0","11,0","3,0","14,0","33,0","26,0","4,0","8,0","12,0","12,0","236,0"
zorg,"20,0","94,0","206,0","172,0","60,0","20,0","62,0","91,0","63,0","23,0","167,0","28,0","75,0","1071,0"
kijken,"4,0","14,0","19,0","34,0","6,0","2,0","6,0","17,0","9,0","2,0","23,0","1,0","23,0","158,0"
presenteren,"1,0","1,0","0,0","0,0","3,0","1,0","0,0","0,0","0,0","1,0","3,0","0,0","0,0","10,0"
kamercommissie,"1,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,0"
stevig,"2,0","4,0","8,0","3,0","3,0","1,0","1,0","2,0","3,0","0,0","3,0","0,0","2,0","32,0"
rapport,"1,0","2,0","1,0","0,0","0,0","0,0","0,0","1,0","2,0","0,0","0,0","0,0","1,0","8,0"
noodzaak,"2,0","3,0","3,0","8,0","2,0","1,0","0,0","4,0","2,0","0,0","17,0","1,0","1,0","44,0"
goed,"23,0","150,0","372,0","334,0","35,0","65,0","114,0","235,0","137,0","31,0","327,0","54,0","146,0","2008,0"
ouderenbeleid,"2,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,0"
advies,"2,0","3,0","8,0","7,0","1,0","0,0","5,0","2,0","1,0","1,0","3,0","0,0","1,0","34,0"
jaar,"12,0","35,0","99,0","108,0","16,0","33,0","28,0","61,0","75,0","39,0","103,0","13,0","179,0","797,0"
laat,"3,0","11,0","21,0","21,0","5,0","3,0","2,0","16,0","9,0","1,0","12,0","3,0","9,0","115,0"
realiseren,"2,0","4,0","15,0","9,0","5,0","2,0","2,0","8,0","15,0","0,0","10,0","0,0","2,0","73,0"
pensioenen,"1,0","0,0","0,0","1,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,0"
staan,"9,0","57,0","122,0","141,0","38,0","36,0","50,0","89,0","63,0","15,0","120,0","14,0","70,0","817,0"
fors,"2,0","8,0","13,0","12,0","2,0","3,0","7,0","10,0","30,0","6,0","18,0","1,0","15,0","127,0"
druk,"1,0","17,0","26,0","24,0","5,0","4,0","5,0","19,0","15,0","0,0","45,0","2,0","19,0","181,0"
groot,"15,0","110,0","159,0","163,0","39,0","38,0","79,0","107,0","130,0","20,0","135,0","25,0","73,0","1078,0"
zorgen,"6,0","51,0","64,0","136,0","14,0","9,0","53,0","76,0","71,0","15,0","69,0","8,0","53,0","620,0"
toekomst,"3,0","51,0","45,0","57,0","6,0","7,0","15,0","34,0","20,0","4,0","15,0","6,0","29,0","289,0"
vergrijzing,"4,0","2,0","3,0","1,0","3,0","0,0","0,0","0,0","0,0","1,0","7,0","0,0","1,0","22,0"
maatschappij,"2,0","1,0","8,0","9,0","4,0","1,0","2,0","5,0","5,0","0,0","9,0","0,0","8,0","51,0"
beschouwen,"1,0","0,0","2,0","0,0","0,0","1,0","0,0","1,0","3,0","0,0","0,0","0,0","2,0","10,0"
ontbreken,"1,0","2,0","3,0","2,0","0,0","0,0","1,0","2,0","3,0","1,0","4,0","0,0","2,0","21,0"
landelijk,"4,0","12,0","39,0","29,0","5,0","3,0","5,0","9,0","12,0","0,0","41,0","5,0","16,0","178,0"
politiek,"3,0","31,0","30,0","28,0","19,0","15,0","15,0","27,0","24,0","26,0","31,0","16,0","14,0","278,0"
simpelweg,"1,0","0,0","1,0","1,0","0,0","1,0","0,0","0,0","0,0","1,0","0,0","0,0","1,0","6,0"
visie,"2,0","7,0","7,0","2,0","0,0","1,0","5,0","1,0","2,0","1,0","6,0","0,0","2,0","36,0"
broodnodig,"1,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0","1,0","0,0","2,0","0,0","0,0","5,0"
randvoorwaarde,"1,0","3,0","8,0","3,0","0,0","1,0","0,0","0,0","1,0","0,0","8,0","0,0","0,0","24,0"
huidig,"7,0","10,0","31,0","26,0","4,0","12,0","10,0","14,0","20,0","3,0","29,0","8,0","11,0","182,0"
toekomstig,"5,0","1,0","6,0","13,0","1,0","3,0","5,0","4,0","7,0","0,0","6,0","0,0","6,0","57,0"
generatie,"4,0","27,0","18,0","9,0","2,0","3,0","10,0","13,0","11,0","0,0","8,0","0,0","2,0","105,0"
laten,"5,0","32,0","40,0","72,0","17,0","10,0","34,0","50,0","38,0","19,0","71,0","18,0","44,0","446,0"
middenin,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
passend,"4,0","7,0","15,0","5,0","1,0","3,0","2,0","7,0","12,0","3,0","10,0","0,0","2,0","70,0"
geschikt,"1,0","0,0","3,0","6,0","0,0","0,0","2,0","1,0","3,0","0,0","1,0","3,0","5,0","25,0"
woning,"11,0","22,0","66,0","37,0","16,0","10,0","28,0","63,0","49,0","15,0","19,0","9,0","37,0","376,0"
gezondheidszorg,"7,0","2,0","10,0","8,0","3,0","0,0","2,0","5,0","2,0","1,0","7,0","1,0","11,0","58,0"
nodig,"3,0","49,0","147,0","99,0","11,0","8,0","42,0","69,0","47,0","16,0","197,0","15,0","66,0","763,0"
graag,"1,0","0,0","2,0","4,0","0,0","4,0","0,0","3,0","1,0","0,0","3,0","1,0","1,0","20,0"
zien,"8,0","40,0","58,0","67,0","14,0","22,0","29,0","63,0","46,0","10,0","66,0","6,0","33,0","458,0"
kans,"3,0","30,0","42,0","120,0","17,0","3,0","18,0","70,0","38,0","1,0","21,0","5,0","20,0","386,0"
bieden,"2,0","75,0","55,0","72,0","8,0","11,0","18,0","56,0","42,0","1,0","69,0","4,0","50,0","463,0"
welvaart,"1,0","7,0","8,0","26,0","3,0","6,0","7,0","6,0","11,0","0,0","5,0","0,0","17,0","96,0"
welzijn,"7,0","2,0","17,0","13,0","3,0","0,0","11,0","5,0","20,0","1,0","9,0","0,0","3,0","90,0"
